Chrom	Start	End	cdsStart	cdsEnd	Strand	ensemblGeneID	ensemblTranscriptID	ensemblProteinID	Gene	GeneLength	cdsLength	Coding
chr1	11868	14409	14409	14409	+	ENSG00000223972	ENST00000456328		DDX11L1	2541	0	Non-Coding
chr1	14403	29570	29570	29570	-	ENSG00000227232	ENST00000488147		WASH7P	15167	0	Non-Coding
chr1	34553	36081	36081	36081	-	ENSG00000237613	ENST00000417324		FAM138F	1528	0	Non-Coding
chr1	69090	70008	69090	70008	+	ENSG00000186092	ENST00000335137	ENSP00000334393	OR4F5	918	918	Coding
chr1	139789	140339	140339	140339	-	ENSG00000239906	ENST00000493797		LOC729737	550	0	Non-Coding
chr1	317719	324873	324873	324873	+	ENSG00000237094	ENST00000440038		LOC100133331	7154	0	Non-Coding
chr1	367639	368634	367658	368597	+	ENSG00000235249	ENST00000426406	ENSP00000409316	OR4F29	995	939	Coding
chr1	621058	622053	621095	622034	-	ENSG00000185097	ENST00000332831	ENSP00000329982	OR4F29	995	939	Coding
chr1	677192	685396	685396	685396	-	ENSG00000235373	ENST00000416385		LOC100133331	8204	0	Non-Coding
chr1	700236	714006	714006	714006	-	ENSG00000228327	ENST00000428504		LOC100288069	13770	0	Non-Coding
chr1	761585	762902	762902	762902	-	ENSG00000225880	ENST00000473798		LINC00115	1317	0	Non-Coding
chr1	762987	794826	794826	794826	+	ENSG00000228794	ENST00000445118		LOC643837	31839	0	Non-Coding
chr1	803450	812283	812283	812283	-	ENSG00000230368	ENST00000446136		FAM41C	8833	0	Non-Coding
chr1	846814	850328	850328	850328	+	ENSG00000230699	ENST00000448179		AK056486	3514	0	Non-Coding
chr1	852249	855072	855072	855072	-	ENSG00000223764	ENST00000417705		LOC100130417	2823	0	Non-Coding
chr1	861117	879955	861321	879533	+	ENSG00000187634	ENST00000342066	ENSP00000342313	SAMD11	18838	18212	Coding
chr1	879583	894670	880073	894620	-	ENSG00000188976	ENST00000327044	ENSP00000317992	NOC2L	15087	14547	Coding
chr1	895966	901095	896073	900571	+	ENSG00000187961	ENST00000338591	ENSP00000343930	KLHL17	5129	4498	Coding
chr1	901876	910488	901911	909955	+	ENSG00000187583	ENST00000379410	ENSP00000368720	PLEKHN1	8612	8044	Coding
chr1	910578	917497	911551	917497	-	ENSG00000187642	ENST00000433179	ENSP00000414022	C1orf170	6919	5946	Coding
chr1	934341	935552	934438	935353	-	ENSG00000188290	ENST00000428771	ENSP00000393198	HES4	1211	915	Coding
chr1	948802	949920	948953	949858	+	ENSG00000187608	ENST00000379389	ENSP00000368699	ISG15	1118	905	Coding
